time;I(R1);I(R2);I(R3);I(R4);
0.000320723;0.0158335;0.0103178;-0.002294;0.00165449;
0.000321723;0.0160318;0.0103176;-0.00194635;0.00165474;
0.000322723;0.0158347;0.0103178;-0.00229361;0.00165449;
0.000323723;0.0160311;0.0103177;-0.00194674;0.00165474;
0.000324723;0.0158359;0.0103178;-0.00229322;0.00165449;
0.000325723;0.0160304;0.0103177;-0.00194712;0.00165474;
0.000326723;0.0158371;0.0103179;-0.00229284;0.00165449;
0.000327723;0.0160298;0.0103177;-0.00194751;0.00165474;
0.000328723;0.0158382;0.0103179;-0.00229245;0.00165449;
0.000329723;0.0160291;0.0103178;-0.00194789;0.00165473;
0.000330723;0.0158394;0.010318;-0.00229207;0.00165449;
0.000331723;0.0160285;0.0103178;-0.00194827;0.00165473;
0.000332723;0.0158405;0.010318;-0.00229169;0.00165449;
0.000333723;0.0160278;0.0103179;-0.00194865;0.00165473;
0.000334723;0.0158416;0.010318;-0.00229131;0.00165449;
0.000335723;0.0160272;0.0103179;-0.00194903;0.00165473;
0.000336723;0.0158427;0.0103181;-0.00229094;0.00165449;
0.000337723;0.0160266;0.0103179;-0.0019494;0.00165473;
0.000338723;0.0158437;0.0103181;-0.00229056;0.0016545;
0.000339723;0.0160259;0.010318;-0.00194978;0.00165473;
0.000340723;0.0158448;0.0103181;-0.00229019;0.0016545;
0.000341723;0.0160253;0.010318;-0.00195015;0.00165473;
0.000342723;0.0158458;0.0103182;-0.00228982;0.0016545;
0.000343723;0.0160247;0.0103181;-0.00195052;0.00165473;
0.000344723;0.0158468;0.0103182;-0.00228945;0.0016545;
0.000345723;0.0160241;0.0103181;-0.00195089;0.00165473;
0.000346723;0.0158478;0.0103182;-0.00228908;0.0016545;
0.000347723;0.0160237;0.0103181;-0.00195125;0.00165473;
0.000348723;0.0158488;0.0103183;-0.00228871;0.0016545;
0.000349723;0.016023;0.0103182;-0.00195162;0.00165473;
0.000350723;0.0158497;0.0103183;-0.00228835;0.0016545;
0.000351723;0.0160224;0.0103182;-0.00195198;0.00165473;
0.000352723;0.0158507;0.0103183;-0.00228798;0.0016545;
0.000353723;0.0160218;0.0103182;-0.00195235;0.00165473;
0.000354723;0.0158516;0.0103184;-0.00228762;0.0016545;
0.000355723;0.0160213;0.0103182;-0.00195271;0.00165473;
0.000356723;0.0158525;0.0103184;-0.00228726;0.0016545;
0.000357723;0.0160207;0.0103183;-0.00195307;0.00165473;
0.000358723;0.0158534;0.0103184;-0.0022869;0.0016545;
0.000359723;0.0160201;0.0103183;-0.00195343;0.00165473;
0.000360723;0.0158543;0.0103184;-0.00228655;0.0016545;
0.000361723;0.0160196;0.0103183;-0.00195378;0.00165473;
0.000362723;0.0158552;0.0103185;-0.00228619;0.0016545;
0.000363723;0.0160192;0.0103184;-0.00195414;0.00165473;
0.000364723;0.0158561;0.0103185;-0.00228583;0.0016545;
0.000365723;0.0160186;0.0103184;-0.00195449;0.00165472;
0.000366723;0.0158569;0.0103185;-0.00228548;0.0016545;
0.000367723;0.0160181;0.0103184;-0.00195484;0.00165472;
0.000368723;0.0158578;0.0103185;-0.00228513;0.0016545;
0.000369723;0.0160175;0.0103184;-0.00195519;0.00165472;
0.000370723;0.0158586;0.0103186;-0.00228478;0.00165451;
0.000371723;0.0160169;0.0103185;-0.00195554;0.00165472;
0.000372723;0.0158594;0.0103186;-0.00228443;0.00165451;
0.000373723;0.0160164;0.0103185;-0.00195589;0.00165472;
0.000374723;0.0158602;0.0103186;-0.00228408;0.00165451;
0.000375723;0.0160158;0.0103185;-0.00195624;0.00165472;
0.000376723;0.015861;0.0103186;-0.00228374;0.00165451;
0.000377723;0.0160153;0.0103185;-0.00195658;0.00165472;
0.000378723;0.0158618;0.0103186;-0.00228339;0.00165451;
0.000379723;0.0160148;0.0103185;-0.00195693;0.00165472;
0.000380723;0.0158626;0.0103187;-0.00228305;0.00165451;
0.000381723;0.0160142;0.0103186;-0.00195727;0.00165472;
0.000382723;0.0158633;0.0103187;-0.0022827;0.00165451;
0.000383723;0.0160137;0.0103186;-0.00195761;0.00165472;
0.000384723;0.0158641;0.0103187;-0.00228236;0.00165451;
0.000385723;0.0160132;0.0103186;-0.00195795;0.00165472;
0.000386723;0.0158648;0.0103187;-0.00228202;0.00165451;
0.000387723;0.0160127;0.0103186;-0.00195829;0.00165472;
0.000388723;0.0158655;0.0103187;-0.00228169;0.00165451;
0.000389723;0.0160122;0.0103186;-0.00195863;0.00165472;
0.000390723;0.0158662;0.0103188;-0.00228135;0.00165451;
0.000391723;0.0160117;0.0103187;-0.00195897;0.00165472;
0.000392723;0.0158669;0.0103188;-0.00228101;0.00165451;
0.000393723;0.0160112;0.0103187;-0.0019593;0.00165472;
0.000394723;0.0158676;0.0103188;-0.00228068;0.00165451;
0.000395723;0.0160107;0.0103187;-0.00195963;0.00165472;
