time;I(D5);P(D5);
0.000479301;-0.00489279;0.023175;
0.000481301;-0.0047257;0.0223815;
0.000483301;-0.00489278;0.0231749;
0.000485301;-0.00472571;0.0223816;
0.000487301;-0.00489277;0.0231749;
0.000489301;-0.00472573;0.0223816;
0.000491301;-0.00489276;0.0231748;
0.000493301;-0.00472574;0.0223817;
0.000495301;-0.00489275;0.0231748;
0.000497301;-0.00472575;0.0223818;
0.000499301;-0.00489274;0.0231748;
0.0005;-0.00472579;0.0223819;
0.0005002;-0.00477331;0.0226068;
0.000500366;-0.00473102;0.0224051;
0.000500515;-0.00469114;0.0222148;
0.000500672;-0.00464925;0.022015;
0.000500985;-0.00456587;0.0216173;
0.000501612;-0.0043988;0.0208206;
0.000502864;-0.00406572;0.0192326;
0.000504864;-0.00353576;0.0167078;
0.000506864;-0.00300967;0.0142083;
0.000508864;-0.00248787;0.0117301;
0.000510864;-0.00197361;0.00929149;
0.000512864;-0.00147017;0.00690849;
0.000514864;-0.000987201;0.00462756;
0.000516864;-0.000544624;0.0025438;
0.000518864;-0.000197018;0.000914692;
0.000520864;-2.95888e-05;0.000135869;
0.000522864;-1.27203e-06;5.73562e-06;
0.000524864;4.6287e-07;-2.03795e-06;
0.000526864;2.50072e-07;-1.0717e-06;
0.000528864;5.31494e-07;-2.21287e-06;
0.000530864;2.74529e-07;-1.10888e-06;
0.000532864;5.50514e-07;-2.15451e-06;
0.000534864;2.92644e-07;-1.10825e-06;
0.000536864;5.69768e-07;-2.08497e-06;
0.000538864;3.14497e-07;-1.11027e-06;
0.000540864;5.95714e-07;-2.02512e-06;
0.000542864;3.4674e-07;-1.13251e-06;
0.000544864;6.37515e-07;-1.99496e-06;
0.000546864;4.02661e-07;-1.20282e-06;
0.000548864;7.11603e-07;-2.01946e-06;
0.00055;4.72725e-07;-1.29966e-06;
0.0005502;5.72056e-07;-1.56419e-06;
0.0005506;5.11887e-07;-1.3852e-06;
0.0005514;4.13432e-07;-1.09892e-06;
0.000553;2.80001e-07;-7.24287e-07;
0.000555;1.72646e-07;-4.36635e-07;
0.000557;1.0861e-07;-2.70818e-07;
0.000559;6.62281e-08;-1.63679e-07;
0.000561;4.24142e-08;-1.04244e-07;
0.000563;2.50241e-08;-6.12912e-08;
0.000565;1.67723e-08;-4.09483e-08;
0.000567;9.07791e-09;-2.21316e-08;
0.000569;6.86505e-09;-1.67373e-08;
0.000571;2.91798e-09;-7.1074e-09;
0.000573;3.03554e-09;-7.39663e-09;
0.000575;5.37742e-10;-1.30881e-09;
0.000577;1.55611e-09;-3.79077e-09;
0.000579;-3.81625e-10;9.29878e-10;
0.000581;9.8469e-10;-2.39842e-09;
0.000583;-7.36663e-10;1.79425e-09;
0.000585;7.63988e-10;-1.86071e-09;
0.000587;-8.73745e-10;2.12797e-09;
0.000589;6.78732e-10;-1.653e-09;
0.000591;-9.26657e-10;2.25678e-09;
0.000593;6.45782e-10;-1.57273e-09;
0.000595;-9.47064e-10;2.30645e-09;
0.000597;6.33032e-10;-1.54167e-09;
0.000599;-9.54918e-10;2.32557e-09;
0.000601;6.28082e-10;-1.52961e-09;
0.000603;-9.57925e-10;2.33289e-09;
0.000605;6.26144e-10;-1.52489e-09;
0.000607;-9.5906e-10;2.33566e-09;
0.000609;6.2537e-10;-1.523e-09;
0.000611;-9.59472e-10;2.33666e-09;
0.000613;6.25044e-10;-1.52221e-09;
0.000615;-9.59605e-10;2.33698e-09;
0.000617;6.24893e-10;-1.52184e-09;
0.000619;-9.5963e-10;2.33704e-09;
0.000621;6.24808e-10;-1.52163e-09;
0.000623;-9.59614e-10;2.337e-09;
0.000625;6.24749e-10;-1.52149e-09;
0.0006252;-1.9605e-10;4.77454e-10;
0.0006256;-2.24496e-10;5.46729e-10;
0.0006264;-4.33263e-10;1.05516e-09;
0.000627;-3.42534e-09;8.34245e-09;
0.00062716;-3.66053e-09;8.91551e-09;
0.00062748;-3.60749e-09;8.78682e-09;
0.00062812;-3.61402e-09;8.80372e-09;
0.0006294;-3.64438e-09;8.87972e-09;
0.0006314;-4.04387e-09;9.85679e-09;
0.0006334;-4.16752e-09;1.01623e-08;
0.0006354;-4.34514e-09;1.05998e-08;
0.0006374;-4.28837e-09;1.04658e-08;
0.0006394;-2.04653e-09;4.99612e-09;
0.0006414;-1.65908e-09;4.05094e-09;
0.0006434;-8.25031e-10;2.01469e-09;
0.0006454;-8.23046e-10;2.00997e-09;
0.0006474;-3.43267e-10;8.38334e-10;
0.0006494;-4.94433e-10;1.20754e-09;
0.0006514;-1.65711e-10;4.04718e-10;
0.0006534;-3.59134e-10;8.7713e-10;
0.0006554;-1.05256e-10;2.57074e-10;
0.0006574;-2.99243e-10;7.30863e-10;
0.0006594;-8.92151e-11;2.17897e-10;
0.0006614;-2.6917e-10;6.57415e-10;
0.0006634;-8.95461e-11;2.18706e-10;
0.0006654;-2.51448e-10;6.14133e-10;
0.0006674;-9.5464e-11;2.3316e-10;
0.0006694;-2.39128e-10;5.84042e-10;
0.0006714;-1.02925e-10;2.51383e-10;
0.0006734;-2.29477e-10;5.60472e-10;
0.0006754;-1.10436e-10;2.69728e-10;
0.0006774;-2.21374e-10;5.40681e-10;
0.0006794;-1.17462e-10;2.86888e-10;
0.0006814;-2.14343e-10;5.23509e-10;
0.0006834;-1.23863e-10;3.02522e-10;
0.0006854;-2.08142e-10;5.08364e-10;
0.0006874;-1.29629e-10;3.16603e-10;
0.0006894;-2.02634e-10;4.94912e-10;
0.0006914;-1.34797e-10;3.29226e-10;
0.0006934;-1.97727e-10;4.82925e-10;
0.0006954;-1.3942e-10;3.40518e-10;
0.0006974;-1.93348e-10;4.72229e-10;
0.0006994;-1.43553e-10;3.50611e-10;
0.0007014;-1.89438e-10;4.62681e-10;
0.0007034;-1.47245e-10;3.59629e-10;
0.0007054;-1.85946e-10;4.54153e-10;
0.0007074;-1.50544e-10;3.67686e-10;
0.0007094;-1.82828e-10;4.46537e-10;
0.0007114;-1.5349e-10;3.74882e-10;
0.0007134;-1.80043e-10;4.39734e-10;
0.0007154;-1.56122e-10;3.8131e-10;
0.0007174;-1.77555e-10;4.33658e-10;
0.0007194;-1.58473e-10;3.87052e-10;
0.0007214;-1.75333e-10;4.28231e-10;
0.0007234;-1.60573e-10;3.9218e-10;
0.0007254;-1.73348e-10;4.23383e-10;
0.0007274;-1.62448e-10;3.96761e-10;
0.0007294;-1.71575e-10;4.19053e-10;
0.0007314;-1.64124e-10;4.00853e-10;
0.0007334;-1.69992e-10;4.15186e-10;
0.0007354;-1.6562e-10;4.04508e-10;
0.0007374;-1.68578e-10;4.11732e-10;
0.0007394;-1.66956e-10;4.07772e-10;
0.0007414;-1.67315e-10;4.08647e-10;
0.0007434;-1.6815e-10;4.10687e-10;
0.0007454;-1.66186e-10;4.05891e-10;
0.0007474;-1.69216e-10;4.13291e-10;
0.0007494;-1.65179e-10;4.03431e-10;
0.0007514;-1.70168e-10;4.15616e-10;
0.0007534;-1.64279e-10;4.01233e-10;
0.0007554;-1.71018e-10;4.17693e-10;
0.0007574;-1.63475e-10;3.9927e-10;
0.0007594;-1.71778e-10;4.19548e-10;
0.0007614;-1.62758e-10;3.97517e-10;
0.0007634;-1.72456e-10;4.21204e-10;
0.0007654;-1.62117e-10;3.95952e-10;
0.0007674;-1.73061e-10;4.22683e-10;
0.0007694;-1.61545e-10;3.94555e-10;
0.0007714;-1.73602e-10;4.24004e-10;
0.0007734;-1.61037e-10;3.93315e-10;
0.0007754;-1.74083e-10;4.25177e-10;
0.0007774;-1.6058e-10;3.92199e-10;
0.0007794;-1.74513e-10;4.26229e-10;
0.0007814;-1.60173e-10;3.91203e-10;
