time;I(D7);P(QU1);
0.000538489;-0.00219695;0.00142232;
0.000540489;-0.00218859;0.00142235;
0.000542489;-0.00217976;0.00142153;
0.000544489;-0.00217088;0.00142151;
0.000546489;-0.00216146;0.00142069;
0.000548489;-0.00215188;0.00142061;
0.00055;-0.00214418;0.0014199;
0.0005502;-0.00214403;0.00141994;
0.0005506;-0.00214394;0.00141991;
0.0005514;-0.00214398;0.00141992;
0.000553;-0.00214393;0.00141992;
0.000555;-0.00214394;0.00141992;
0.000557;-0.0021439;0.00141992;
0.000559;-0.00214392;0.00141992;
0.000561;-0.00214389;0.00141992;
0.000563;-0.00214391;0.00141992;
0.000565;-0.00214389;0.00141992;
0.000567;-0.0021439;0.00141991;
0.000569;-0.00214389;0.00141992;
0.000571;-0.0021439;0.00141991;
0.000573;-0.00214389;0.00141992;
0.000575;-0.0021439;0.00141991;
0.000577;-0.00214389;0.00141992;
0.000579;-0.0021439;0.00141991;
0.000581;-0.00214389;0.00141992;
0.000583;-0.0021439;0.00141991;
0.000585;-0.00214389;0.00141992;
0.000587;-0.0021439;0.00141991;
0.000589;-0.00214389;0.00141992;
0.000591;-0.00214389;0.00141991;
0.000593;-0.00214389;0.00141992;
0.000595;-0.00214389;0.00141991;
0.000597;-0.00214389;0.00141992;
0.000599;-0.00214389;0.00141991;
0.000601;-0.0021439;0.00141992;
0.000603;-0.00214389;0.00141991;
0.000605;-0.0021439;0.00141992;
0.000607;-0.00214389;0.00141991;
0.000609;-0.0021439;0.00141992;
0.000611;-0.00214389;0.00141991;
0.000613;-0.0021439;0.00141992;
0.000615;-0.00214389;0.00141991;
0.000617;-0.0021439;0.00141992;
0.000619;-0.00214389;0.00141991;
0.000621;-0.0021439;0.00141992;
0.000623;-0.00214389;0.00141992;
0.000625;-0.0021439;0.00141992;
0.0006252;-0.00215009;0.001258;
0.0006256;-0.00214603;0.000914416;
0.0006264;-0.00205583;0.000284439;
0.000627;-0.000815632;0.00011656;
0.00062716;-0.00059258;5.91993e-05;
0.00062748;-0.000450106;9.35922e-06;
0.00062812;-0.000364639;2.20716e-07;
0.0006294;-0.000251443;6.00605e-10;
0.0006314;-0.000142049;4.87089e-11;
0.0006334;-8.3078e-05;8.97339e-11;
0.0006354;-5.09161e-05;1.44982e-10;
0.0006374;-3.29808e-05;2.12745e-10;
0.0006394;-2.26269e-05;2.24967e-10;
0.0006414;-1.6379e-05;2.23907e-10;
0.0006434;-1.24212e-05;2.25813e-10;
0.0006454;-9.79166e-06;2.24784e-10;
0.0006474;-7.96677e-06;2.2631e-10;
0.0006494;-6.65069e-06;2.25365e-10;
0.0006514;-5.66954e-06;2.26641e-10;
0.0006534;-4.91702e-06;2.25789e-10;
0.0006554;-4.32568e-06;2.2688e-10;
0.0006574;-3.8512e-06;2.26117e-10;
0.0006594;-3.46362e-06;2.27064e-10;
0.0006614;-3.14205e-06;2.26383e-10;
0.0006634;-2.87162e-06;2.27212e-10;
0.0006654;-2.64148e-06;2.26603e-10;
0.0006674;-2.44355e-06;2.27335e-10;
0.0006694;-2.27175e-06;2.2679e-10;
0.0006714;-2.12138e-06;2.27439e-10;
0.0006734;-1.98879e-06;2.26952e-10;
0.0006754;-1.87109e-06;2.2753e-10;
0.0006774;-1.76597e-06;2.27094e-10;
0.0006794;-1.67157e-06;2.2761e-10;
0.0006814;-1.58637e-06;2.27221e-10;
0.0006834;-1.50913e-06;2.27681e-10;
0.0006854;-1.43879e-06;2.27334e-10;
0.0006874;-1.3745e-06;2.27746e-10;
0.0006894;-1.31553e-06;2.27436e-10;
0.0006914;-1.26125e-06;2.27806e-10;
0.0006934;-1.21114e-06;2.27528e-10;
0.0006954;-1.16474e-06;2.27861e-10;
0.0006974;-1.12167e-06;2.27613e-10;
0.0006994;-1.08158e-06;2.27913e-10;
0.0007014;-1.04418e-06;2.27691e-10;
0.0007034;-1.00922e-06;2.27961e-10;
0.0007054;-9.76462e-07;2.27763e-10;
0.0007074;-9.45714e-07;2.28006e-10;
0.0007094;-9.16797e-07;2.2783e-10;
0.0007114;-8.89556e-07;2.28049e-10;
0.0007134;-8.6385e-07;2.27892e-10;
0.0007154;-8.39556e-07;2.2809e-10;
0.0007174;-8.16562e-07;2.2795e-10;
0.0007194;-7.94768e-07;2.28129e-10;
0.0007214;-7.74083e-07;2.28004e-10;
0.0007234;-7.54427e-07;2.28166e-10;
0.0007254;-7.35724e-07;2.28055e-10;
0.0007274;-7.17909e-07;2.28202e-10;
0.0007294;-7.00921e-07;2.28104e-10;
0.0007314;-6.84703e-07;2.28237e-10;
0.0007334;-6.69206e-07;2.28149e-10;
0.0007354;-6.54382e-07;2.2827e-10;
0.0007374;-6.40189e-07;2.28193e-10;
0.0007394;-6.26589e-07;2.28302e-10;
0.0007414;-6.13545e-07;2.28233e-10;
0.0007434;-6.01025e-07;2.28333e-10;
0.0007454;-5.88997e-07;2.28272e-10;
0.0007474;-5.77434e-07;2.28363e-10;
0.0007494;-5.66309e-07;2.2831e-10;
0.0007514;-5.55598e-07;2.28392e-10;
0.0007534;-5.45279e-07;2.28345e-10;
0.0007554;-5.3533e-07;2.2842e-10;
0.0007574;-5.25733e-07;2.28379e-10;
0.0007594;-5.1647e-07;2.28448e-10;
0.0007614;-5.07522e-07;2.28412e-10;
0.0007634;-4.98875e-07;2.28474e-10;
0.0007654;-4.90514e-07;2.28443e-10;
0.0007674;-4.82425e-07;2.285e-10;
0.0007694;-4.74595e-07;2.28473e-10;
0.0007714;-4.67012e-07;2.28526e-10;
0.0007734;-4.59664e-07;2.28502e-10;
0.0007754;-4.52541e-07;2.2855e-10;
0.0007774;-4.45633e-07;2.2853e-10;
0.0007794;-4.3893e-07;2.28574e-10;
0.0007814;-4.32423e-07;2.28557e-10;
0.0007834;-4.26104e-07;2.28598e-10;
0.0007854;-4.19965e-07;2.28583e-10;
0.0007874;-4.13998e-07;2.28621e-10;
0.0007894;-4.08197e-07;2.28608e-10;
0.0007914;-4.02554e-07;2.28643e-10;
0.0007934;-3.97064e-07;2.28633e-10;
0.0007954;-3.91719e-07;2.28665e-10;
0.0007974;-3.86515e-07;2.28657e-10;
0.0007994;-3.81446e-07;2.28686e-10;
0.0008014;-3.76507e-07;2.2868e-10;
0.0008034;-3.71693e-07;2.28707e-10;
0.0008054;-3.66999e-07;2.28702e-10;
0.0008074;-3.62421e-07;2.28727e-10;
0.0008094;-3.57954e-07;2.28724e-10;
0.0008114;-3.53596e-07;2.28747e-10;
0.0008134;-3.49341e-07;2.28745e-10;
0.0008154;-3.45186e-07;2.28767e-10;
0.0008174;-3.41128e-07;2.28765e-10;
0.0008194;-3.37164e-07;2.28786e-10;
0.0008214;-3.3329e-07;2.28785e-10;
0.0008234;-3.29503e-07;2.28805e-10;
0.0008254;-3.258e-07;2.28805e-10;
0.0008274;-3.22179e-07;2.28823e-10;
0.0008294;-3.18636e-07;2.28824e-10;
0.0008314;-3.1517e-07;2.28841e-10;
0.0008334;-3.11779e-07;2.28843e-10;
0.0008354;-3.08458e-07;2.28858e-10;
0.0008374;-3.05207e-07;2.28861e-10;
0.0008394;-3.02023e-07;2.28876e-10;
0.0008414;-2.98905e-07;2.28879e-10;
0.0008434;-2.9585e-07;2.28893e-10;
0.0008454;-2.92856e-07;2.28896e-10;
0.0008474;-2.89921e-07;2.28909e-10;
0.0008494;-2.87044e-07;2.28913e-10;
0.0008514;-2.84224e-07;2.28926e-10;
0.0008534;-2.81457e-07;2.2893e-10;
0.0008554;-2.78744e-07;2.28942e-10;
0.0008574;-2.76082e-07;2.28946e-10;
0.0008594;-2.7347e-07;2.28958e-10;
0.0008614;-2.70907e-07;2.28962e-10;
0.0008634;-2.68391e-07;2.28973e-10;
0.0008654;-2.65921e-07;2.28978e-10;
0.0008674;-2.63495e-07;2.28988e-10;
0.0008694;-2.61113e-07;2.28993e-10;
0.0008714;-2.58774e-07;2.29003e-10;
0.0008734;-2.56475e-07;2.29008e-10;
0.0008754;-2.54217e-07;2.29018e-10;
0.0008774;-2.51998e-07;2.29023e-10;
0.0008794;-2.49818e-07;2.29032e-10;
0.0008814;-2.47674e-07;2.29037e-10;
0.0008834;-2.45566e-07;2.29047e-10;
0.0008854;-2.43494e-07;2.29052e-10;
0.0008874;-2.41457e-07;2.29061e-10;
0.0008894;-2.39453e-07;2.29066e-10;
0.0008914;-2.37481e-07;2.29074e-10;
0.0008934;-2.35542e-07;2.2908e-10;
0.0008954;-2.33634e-07;2.29088e-10;
0.0008974;-2.31756e-07;2.29093e-10;
0.0008994;-2.29908e-07;2.29101e-10;
0.0009014;-2.28089e-07;2.29107e-10;
0.0009034;-2.26299e-07;2.29114e-10;
0.0009054;-2.24536e-07;2.2912e-10;
0.0009074;-2.228e-07;2.29127e-10;
0.0009094;-2.21091e-07;2.29133e-10;
0.0009114;-2.19408e-07;2.2914e-10;
0.0009134;-2.1775e-07;2.29145e-10;
0.0009154;-2.16116e-07;2.29153e-10;
0.0009174;-2.14507e-07;2.29158e-10;
0.0009194;-2.12921e-07;2.29165e-10;
0.0009214;-2.11359e-07;2.2917e-10;
0.0009234;-2.09819e-07;2.29177e-10;
0.0009254;-2.08302e-07;2.29183e-10;
0.0009274;-2.06806e-07;2.29189e-10;
0.0009294;-2.05331e-07;2.29195e-10;
0.0009314;-2.03877e-07;2.29201e-10;
0.0009334;-2.02443e-07;2.29206e-10;
0.0009354;-2.01029e-07;2.29213e-10;
0.0009374;-1.99635e-07;2.29218e-10;
0.0009394;-1.9826e-07;2.29224e-10;
0.0009414;-1.96903e-07;2.2923e-10;
0.0009434;-1.95565e-07;2.29236e-10;
0.0009454;-1.94245e-07;2.29241e-10;
0.0009474;-1.92943e-07;2.29247e-10;
0.0009494;-1.91657e-07;2.29252e-10;
0.0009514;-1.90389e-07;2.29258e-10;
0.0009534;-1.89137e-07;2.29263e-10;
0.0009554;-1.87902e-07;2.29269e-10;
0.0009574;-1.86682e-07;2.29274e-10;
0.0009594;-1.85478e-07;2.2928e-10;
0.0009614;-1.8429e-07;2.29285e-10;
0.0009634;-1.83116e-07;2.2929e-10;
0.0009654;-1.81957e-07;2.29295e-10;
0.0009674;-1.80813e-07;2.29301e-10;
0.0009694;-1.79683e-07;2.29306e-10;
0.0009714;-1.78567e-07;2.29311e-10;
0.0009734;-1.77465e-07;2.29316e-10;
0.0009754;-1.76376e-07;2.29321e-10;
0.0009774;-1.753e-07;2.29326e-10;
0.0009794;-1.74237e-07;2.29332e-10;
0.0009814;-1.73187e-07;2.29336e-10;
0.0009834;-1.7215e-07;2.29342e-10;
0.0009854;-1.71125e-07;2.29346e-10;
0.0009874;-1.70112e-07;2.29352e-10;
0.0009894;-1.69111e-07;2.29356e-10;
0.0009914;-1.68121e-07;2.29361e-10;
0.0009934;-1.67143e-07;2.29366e-10;
0.0009954;-1.66176e-07;2.29371e-10;
0.0009974;-1.65221e-07;2.29376e-10;
0.0009994;-1.64276e-07;2.29381e-10;
0.001;-1.63994e-07;2.29382e-10;
0.0010002;-1.63901e-07;2.29383e-10;
0.0010006;-1.63714e-07;2.29385e-10;
0.0010014;-1.63342e-07;2.29388e-10;
0.001003;-1.62602e-07;2.29396e-10;
0.001005;-1.61686e-07;2.29405e-10;
0.001007;-1.60781e-07;2.29414e-10;
0.001009;-1.59886e-07;2.29422e-10;
0.001011;-1.59001e-07;2.29431e-10;
0.001013;-1.58125e-07;2.29439e-10;
0.001015;-1.57259e-07;2.29447e-10;
0.001017;-1.56403e-07;2.29455e-10;
0.001019;-1.55555e-07;2.29463e-10;
0.001021;-1.54717e-07;2.29471e-10;
0.001023;-1.53888e-07;2.29479e-10;
