time;I(D7);P(D7);
0.002119;-6.54465e-07;2.69009e-06;
0.002121;-6.51765e-07;2.67892e-06;
0.002123;-6.49087e-07;2.66784e-06;
0.002125;-6.4643e-07;2.65686e-06;
0.0021252;-5.51547e-07;2.26462e-06;
0.0021256;-2.99003e-07;1.22295e-06;
0.0021264;-1.88212e-08;7.56346e-08;
0.002127;-3.13186e-07;1.28134e-06;
0.00212716;-1.67579e-05;7.02862e-05;
0.00212748;-0.019739;0.0864004;
0.00212812;-0.0362403;0.159198;
0.00212842;-1.78172e-05;7.4758e-05;
0.00212873;-3.41397e-08;1.37719e-07;
0.00212898;-1.58138e-08;6.34777e-08;
0.00212922;-2.06215e-06;8.53739e-06;
0.00212953;-0.000259376;0.00110626;
0.0021299;-0.000802737;0.00344721;
0.00213046;-0.00261715;0.0113189;
0.00213104;-0.00187924;0.00811138;
0.0021322;-0.00260232;0.0112544;
0.00213358;-0.00190612;0.00822813;
0.00213558;-0.00258088;0.0111611;
0.00213758;-0.00192469;0.00830876;
0.00213958;-0.00256221;0.0110799;
0.00214158;-0.00194342;0.00839009;
0.00214358;-0.00254369;0.0109993;
0.00214558;-0.00196188;0.00847028;
0.00214758;-0.00252554;0.0109203;
0.00214958;-0.00197987;0.00854841;
0.00215158;-0.00250789;0.0108436;
0.00215358;-0.00199731;0.00862416;
0.00215558;-0.00249084;0.0107694;
0.00215758;-0.00201408;0.00869701;
0.00215958;-0.00247447;0.0106982;
0.00216158;-0.00203015;0.00876681;
0.00216358;-0.00245881;0.0106301;
0.00216558;-0.0020455;0.0088335;
0.00216758;-0.00244386;0.0105651;
0.00216958;-0.00206011;0.00889697;
0.00217158;-0.00242966;0.0105033;
0.00217358;-0.00207396;0.00895718;
0.00217558;-0.00241622;0.0104449;
0.00217758;-0.00208706;0.00901409;
0.00217958;-0.00240352;0.0103896;
0.00218158;-0.00209942;0.00906777;
0.00218358;-0.00239155;0.0103376;
0.00218558;-0.00211105;0.00911831;
0.00218758;-0.00238028;0.0102886;
0.00218958;-0.00212209;0.00916627;
0.00219158;-0.00236953;0.0102419;
0.00219358;-0.00213244;0.00921124;
0.00219558;-0.0023596;0.0101987;
0.00219758;-0.00214202;0.00925288;
0.00219958;-0.0023504;0.0101587;
0.00220158;-0.0021509;0.00929149;
0.00220358;-0.00234189;0.0101217;
0.00220558;-0.00215909;0.00932706;
0.00220758;-0.00233398;0.0100873;
0.00220958;-0.00216675;0.00936035;
0.00221158;-0.00232658;0.0100551;
0.00221358;-0.0021739;0.00939143;
0.00221558;-0.00231969;0.0100251;
0.00221758;-0.00218056;0.00942039;
0.00221958;-0.00231327;0.00999724;
0.00222158;-0.00218676;0.00944732;
0.00222358;-0.0023073;0.00997131;
0.00222558;-0.00219251;0.00947233;
0.00222758;-0.00230177;0.00994723;
0.00222958;-0.00219785;0.00949554;
0.00223158;-0.00229663;0.00992491;
0.00223358;-0.0022028;0.00951704;
0.00223558;-0.00229188;0.00990424;
0.00223758;-0.00220738;0.00953694;
0.00223958;-0.00228748;0.00988512;
0.00224158;-0.00221173;0.00955583;
0.00224358;-0.00228322;0.0098666;
0.00224558;-0.00221573;0.00957325;
0.00224758;-0.00227944;0.00985015;
0.00224958;-0.00221934;0.00958891;
0.00225158;-0.00227601;0.00983524;
0.00225358;-0.00222262;0.00960318;
0.00225558;-0.00227287;0.0098216;
0.00225758;-0.00222563;0.00961626;
0.00225958;-0.00226999;0.00980908;
0.00226158;-0.0022284;0.00962829;
0.00226358;-0.00226734;0.00979755;
