time;I(D4);I(D5);I(D6);I(D7);
0.000265792;0.0231737;-0.0101496;-4.36425e-12;-0.00227234;
0.000266792;0.0228254;-1.56242e-05;-4.36114e-12;-0.00222385;
0.000267792;0.0231755;-0.010129;-4.36422e-12;-0.00227202;
0.000268792;0.0228237;-1.82745e-05;-4.36116e-12;-0.00222418;
0.000269792;0.0231772;-0.0101088;-4.3642e-12;-0.00227171;
0.000270792;0.0228219;-2.12587e-05;-4.36118e-12;-0.00222449;
0.000271792;0.023179;-0.0100887;-4.36418e-12;-0.00227141;
0.000272792;0.0228202;-2.45946e-05;-4.3612e-12;-0.0022248;
0.000273792;0.0231807;-0.010069;-4.36416e-12;-0.00227112;
0.000274792;0.0228184;-2.8297e-05;-4.36122e-12;-0.00222509;
0.000275792;0.0231825;-0.0100494;-4.36414e-12;-0.00227084;
0.000276792;0.0228167;-3.23782e-05;-4.36124e-12;-0.00222537;
0.000277792;0.0231842;-0.01003;-4.36412e-12;-0.00227058;
0.000278792;0.0228149;-3.68477e-05;-4.36126e-12;-0.00222563;
0.000279792;0.0231859;-0.0100107;-4.3641e-12;-0.00227033;
0.000280792;0.0228132;-4.17121e-05;-4.36127e-12;-0.00222587;
0.000281792;0.0231877;-0.00999248;-4.36408e-12;-0.00227009;
0.000282792;0.0228115;-4.69439e-05;-4.36129e-12;-0.00222613;
0.000283792;0.0231894;-0.00997395;-4.36406e-12;-0.00226984;
0.000284792;0.0228098;-5.25636e-05;-4.36131e-12;-0.00222638;
0.000285792;0.0231911;-0.00995562;-4.36404e-12;-0.00226961;
0.000286792;0.022808;-5.85581e-05;-4.36132e-12;-0.00222661;
0.000287792;0.0231928;-0.0099375;-4.36403e-12;-0.00226939;
0.000288792;0.0228063;-6.49156e-05;-4.36134e-12;-0.00222683;
0.000289792;0.0231945;-0.00991957;-4.36401e-12;-0.00226918;
0.000290792;0.0228046;-7.16226e-05;-4.36135e-12;-0.00222704;
0.000291792;0.0231962;-0.00990184;-4.36399e-12;-0.00226899;
